cluster_id,cluster_name,confidence,E_code,T_code,D_code,C_code,diagnostic_features,notes
CL11,White umbonate,Low,E-MT03,,,,"White-cream, circular umbonate, entire, smooth glistening, ~2 mm, opaque",E-MT03 has no confident match in T or D. The umbonate profile is diagnostic but rare (0.9% of E-zone). Zone-restricted.
CL12,Pale pink/crystalline,Low,E-MT11,,,,,"White-cream with faint pink tone, circular convex, semi-translucent crystalline, 1.5-4 mm"
CL13,Silver-metallic halo,Low,E-MT12,,,,,"White to silver center, translucent halo, umbonate, low luster, 1-2 mm"
CL14,Milky yellow,Low,,T-MT11,D-MT04,,"Pale milky yellow, circular convex, translucent, ~2-3 mm","T-MT11 restricted to R3 only (5.5% overall but 1/5 frequency). D-MT04 has similar description (milky yellow, semi-translucent). Moderate match on phenotype but low frequency in T undermines confidence."
CL15,Crateriform matte,Low,,,D-MT06,,"White-cream, crateriform slightly wrinkled, diffuse irregular margin, dry matte, ~1.5 mm","Zone-restricted to Dark (16.6%, 3rd dominant). No E or T equivalent. The crateriform dry morphology is distinctive and absent from lighter zones — may represent a genuine Dark-zone specialist."
CL16,Central-crater white,Low,,,D-MT07,,"White, elevated with subtle central crater, entire subtly irregular, matte, ~2 mm",Zone-restricted to Dark. Distinguished from D-MT06 by entire margin and higher elevation. No E or T match.
CL17,Translucent yellow mucoid,Low,,,D-MT09,,"Translucent yellow, circular convex, mucoid, 6-8 mm",Zone-restricted to Dark. Yellow pigmentation + mucoid character. Rare (1.1%).
CL18,Red-pink translucent,Low,,,D-MT10,,"Pale translucent red-pink, circular convex, mucoid, liquid-like deformation, 6-8 mm","Zone-restricted to Dark. Highly distinctive pigmentation. Very rare (0.4%, 2/5 reps)."
CL19,Transparent umbonate,Low,,T-MT05,,,"Transparent, punctiform umbonate (central tip), entire, smooth glistening, ~1 mm",Distinguished from T-MT02/T-MT12 by umbonate profile. Zone-restricted to Transition. Low abundance (2.9%).
CL20,Fungal rhizoid (Penicillium-like),High,E-MT14,T-MT14,,,"Pale cream, rhizoid with abundant hyphae, matte fungal texture, 10-50 mm",Penicillium-like morphology consistent across E and T. Not detected in D. Fungal.
CL21,Fungal pubescent,Moderate,E-MT13,T-MT13,D-MT13,C-MT06,"White, pubescent/hairy, elevated, matte opaque, radial margin, 10-22 mm",Pubescent fungal-like growth in all zones + control. E-MT13 more filamentous/rhizoid; T-MT13 and D-MT13 more pubescent/convex. Moderate confidence due to morphological variation within the cluster.
CL22,Fungal large asymmetric,Low,E-MT15,,,,"Very pale white, flat, very large (40-50 mm), matte, asymmetric radial growth",Zone-restricted to Entrance. Large asymmetric fungal growth. Very rare.
